customer_id,name,dob,email,phone,address
CUST1001,Kendra Jenkins,1965-02-21,hparsons@example.net,(552)406-2686,"620 Madison Overpass
Braunmouth, OK 64494"
CUST1002,Michele Lopez,1972-12-18,jesse27@example.org,+1-719-846-8728x7512,"66046 Moss Pines
North Jacquelineborough, SC 26443"
CUST1003,Alex Howell,1964-09-23,melanie44@example.org,676.657.4020x5511,"094 Joseph Curve
South Lucas, FL 78302"
CUST1004,Austin Castro,1979-05-03,fordjacob@example.net,821.960.8785x823,"045 Aguilar Roads Suite 087
Riveraborough, TN 63347"
CUST1005,Victoria Moore,1957-11-18,martinkevin@example.com,4613774888,"4872 Henry Place Apt. 800
Oliviashire, GU 78964"
CUST1006,Ronald Harris,1977-09-12,lynchsusan@example.org,(774)824-2728,"939 Brian Creek
East Sherry, NV 76553"
CUST1007,Rachel Brown,1988-07-12,mmcgee@example.org,+1-228-748-6237x767,"877 Timothy Drives
Victoriaborough, SC 79628"
CUST1008,Steven Reid,1994-04-29,david48@example.org,001-213-353-3578,"547 Powell Haven
Lake Andrewview, KS 25533"
CUST1009,Russell Carroll,2004-11-05,obryan@example.net,329-348-3662x15605,"469 Stephens Radial
Thomasshire, AZ 43366"
CUST1010,Felicia Winters,1982-03-04,perezdanielle@example.com,716.397.4635,"094 Alvarez Avenue Apt. 963
East John, WY 26834"
CUST1011,Daniel Moore,1985-06-07,brittany15@example.com,9283732642,"629 Tran Road Apt. 476
North Bryan, AR 40176"
CUST1012,Kelsey Rodriguez,1995-10-21,joseware@example.net,(470)928-5444x9521,"41546 Parker Field
Thomasside, MH 77256"
CUST1013,Tara Anderson,1999-01-28,ylawrence@example.com,(712)391-8218,"22267 Thompson Knolls Suite 703
Port Maryville, AK 62327"
CUST1014,Melissa Williams,1983-10-24,uodonnell@example.com,922-456-7132,"USNS Davies
FPO AE 74722"
CUST1015,Barbara Brown,2004-09-08,bergaaron@example.org,(365)255-3175x715,"86239 Harrison Mill
Smithstad, VA 84102"
CUST1016,Lisa Jones,1955-10-09,rmonroe@example.net,(914)823-3218x406,"USNV Roberts
FPO AE 55863"
CUST1017,William Wilson,1969-11-07,coopereric@example.com,+1-649-787-6253,"USCGC Clarke
FPO AA 63852"
